model,effort,tok_per_task
claude-fable-5,high,38054
claude-fable-5,low,21562
claude-fable-5,medium,27888
claude-fable-5,xhigh,60538
claude-opus-5,high,46239
claude-opus-5,medium,28977
claude-opus-5,xhigh,60655
deepseek-v4-1-flash,max,88574
deepseek-v4-flash,max,62054
deepseek-v4-pro,max,55154
deepseek-v4.1-flash,max,88574
glm-5.3,max,71178
glm-5.3-flash,none,68673
gpt-5.6-luna,max,41235
gpt-5.6-sol,high,13250
gpt-5.6-sol,medium,7874
gpt-5.6-sol,xhigh,19576
grok-4.6,high,35835
grok-4.6,medium,28466
grok-4.6,xhigh,37608
qwen3.8-flash,none,107885
