id,model,effort,plan,price_usd,real_usd_per_mtok,score,tok_per_task
chatgpt_plus::gpt-6-sol,GPT-6 Sol,high,ChatGPT Plus,20,0.03247,42.8215513642985,10232
chatgpt_plus::gpt-6-sol,GPT-6 Sol,medium,ChatGPT Plus,20,0.03247,39.7820971749522,6478
chatgpt_plus::gpt-6-sol,GPT-6 Sol,xhigh,ChatGPT Plus,20,0.03247,44.1009705516407,16013
chatgpt_pro_20x::gpt-6-sol,GPT-6 Sol,high,ChatGPT Pro 20x,200,0.0155,42.8215513642985,10232
chatgpt_pro_20x::gpt-6-sol,GPT-6 Sol,medium,ChatGPT Pro 20x,200,0.0155,39.7820971749522,6478
chatgpt_pro_20x::gpt-6-sol,GPT-6 Sol,xhigh,ChatGPT Pro 20x,200,0.0155,44.1009705516407,16013
chatgpt_pro_5x::gpt-6-sol,GPT-6 Sol,high,ChatGPT Pro 5x,100,0.03247,42.8215513642985,10232
chatgpt_pro_5x::gpt-6-sol,GPT-6 Sol,medium,ChatGPT Pro 5x,100,0.03247,39.7820971749522,6478
chatgpt_pro_5x::gpt-6-sol,GPT-6 Sol,xhigh,ChatGPT Pro 5x,100,0.03247,44.1009705516407,16013
claude_max_20x::claude-opus-5.5,Claude Opus 5.5,high,Claude Max 20x (9/14+),200,0.01274,53.5831959822067,35584
claude_max_20x::claude-opus-5.5,Claude Opus 5.5,low,Claude Max 20x (9/14+),200,0.01274,42.3077781466168,10151
claude_max_20x::claude-opus-5.5,Claude Opus 5.5,medium,Claude Max 20x (9/14+),200,0.01274,51.2434931792768,25745
claude_max_20x::claude-opus-5.5,Claude Opus 5.5,xhigh,Claude Max 20x (9/14+),200,0.01274,55.9873505840139,65667
claude_max_5x::claude-opus-5.5,Claude Opus 5.5,high,Claude Max 5x (9/14+),100,0.01274,53.5831959822067,35584
claude_max_5x::claude-opus-5.5,Claude Opus 5.5,low,Claude Max 5x (9/14+),100,0.01274,42.3077781466168,10151
claude_max_5x::claude-opus-5.5,Claude Opus 5.5,medium,Claude Max 5x (9/14+),100,0.01274,51.2434931792768,25745
claude_max_5x::claude-opus-5.5,Claude Opus 5.5,xhigh,Claude Max 5x (9/14+),100,0.01274,55.9873505840139,65667
claude_pro::claude-opus-5.5,Claude Opus 5.5,high,Claude Pro,20,0.01065,53.5831959822067,35584
claude_pro::claude-opus-5.5,Claude Opus 5.5,low,Claude Pro,20,0.01065,42.3077781466168,10151
claude_pro::claude-opus-5.5,Claude Opus 5.5,medium,Claude Pro,20,0.01065,51.2434931792768,25745
